NAME;TblName;Combine;LOB;ULAE;d;a;nbara;ALAE;nbarc;Trend_date;c;risk_parm;Trend_factor; 100 000 ; 250 000 ; 300 000 ; 400 000 ; 500 000 ; 750 000 ; 1 000 000 ; 1 500 000 ; 2 000 000 ; 2 500 000 ; 3 000 000 ; 5 000 000 ; 7 500 000 ; 10 000 000 ;Mean1;Mean2;Mean3;Mean4;Mean5;Mean6;Mean7;Mean8;Mean9;Mean10;Mean11;Mean12;Wt1;Wt2;Wt3;Wt4;Wt5;Wt6;Wt7;Wt8;Wt9;Wt10;Wt11;Wt12;;
PO_Group_A_table_1;PO_Group_A_table_1;FA£SZ;PO;0,08;1,72;0,001;162,9;4109;350;01.12.2023;0,005;1,48;1,06;0,0001;0;0;0,001;0,0078;0,0031;0,8871;0,0004;0,0973;0;0;0;0,0005;0,0027;1498;8837;44565;163110;580463;2325457;7082146;20752334;100000000;1;1;1;0,465404;0,368747;0,119048;0,039371;0,005959;0,001162;0,000231;0,000063;0,000015;0;0;0;;0,38644731
PO_Group_A_table_2;PO_Group_A_table_2;FA£SZ;PO;0,08;1,72;0,001;249,09;7373;350;01.12.2023;0,005;1,48;1,06;0,0024;0,0005;0,0002;0,0013;0,0077;0,0017;0,9235;0,0007;0,053;0;0,0003;0;0,0052;0,0035;1819;7863;31097;118291;617073;2644974;7779851;21179820;100000000;1;1;1;0,330504;0,414231;0,160754;0,07726;0,01454;0,002116;0,000428;0,000132;0,000035;0;0;0;;
PO_Group_A_table_3;PO_Group_A_table_3;FA£SZ;PO;0,08;1,72;0,001;50,92;12011;350;01.12.2023;0,005;1,48;1,06;0,0016;0;0,0009;0,0016;0,0085;0,0002;0,9334;0,0001;0,0441;0;0,0002;0;0,0008;0,0086;4833;20870;115603;752852;2955767;9010904;22962002;100000000;1;1;1;1;0,53842;0,300457;0,124825;0,031097;0,004094;0,000785;0,000242;0,00008;0;0;0;0;;
PO_Group_B_table_1;PO_Group_B_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Group_B_table_2;PO_Group_B_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Group_B_table_3;PO_Group_B_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Group_C_table_1;PO_Group_C_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Group_C_table_2;PO_Group_C_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Group_C_table_3;PO_Group_C_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Calif_table_1;PO_Calif_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Calif_table_2;PO_Calif_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_Calif_table_3;PO_Calif_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_FL_table_1;PO_FL_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_FL_table_2;PO_FL_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_FL_table_3;PO_FL_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_GA_table_1;PO_GA_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_GA_table_2;PO_GA_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_GA_table_3;PO_GA_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_IL_table_1;PO_IL_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_IL_table_2;PO_IL_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_IL_table_3;PO_IL_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_IN_table_1;PO_IN_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_IN_table_2;PO_IN_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_IN_table_3;PO_IN_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MA_table_1;PO_MA_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MA_table_2;PO_MA_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MA_table_3;PO_MA_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MI_table_1;PO_MI_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MI_table_2;PO_MI_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MI_table_3;PO_MI_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NJ_table_1;PO_NJ_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NJ_table_2;PO_NJ_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NJ_table_3;PO_NJ_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NY_table_1;PO_NY_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NY_table_2;PO_NY_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NY_table_3;PO_NY_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NC_table_1;PO_NC_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NC_table_2;PO_NC_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_NC_table_3;PO_NC_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_OH_table_1;PO_OH_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_OH_table_2;PO_OH_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_OH_table_3;PO_OH_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_PA_table_1;PO_PA_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_PA_table_2;PO_PA_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_PA_table_3;PO_PA_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_TX_table_1;PO_TX_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_TX_table_2;PO_TX_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_TX_table_3;PO_TX_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_VA_table_1;PO_VA_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_VA_table_2;PO_VA_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_VA_table_3;PO_VA_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_WI_table_1;PO_WI_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_WI_table_2;PO_WI_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_WI_table_3;PO_WI_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MultiState_Table_1;PO_MultiState_Table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MultiState_Table_2;PO_MultiState_Table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO_MultiState_Table_3;PO_MultiState_Table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group A prime table 1;PO_Group_AA_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group A prime table 2;PO_Group_AA_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group A prime table 3;PO_Group_AA_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group B prime table 1;PO_Group_BB_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group B prime table 2;PO_Group_BB_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group B prime table 3;PO_Group_BB_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group C prime table 1;PO_Group_CC_table_1;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group C prime table 2;PO_Group_CC_table_2;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO Group C prime table 3;PO_Group_CC_table_3;FA£SZ;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO COMBINED;PO_COMB;PRAWDA;PO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD TABLE A;PROD_TABLEA;FA£SZ;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD TABLE B;PROD_TABLEB;FA£SZ;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD TABLE C;PROD_TABLEC;FA£SZ;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROD COMBINED;PROD_COMB;PRAWDA;PROD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GL COMBINED;GL_COMB;PRAWDA;GL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 L & M;STATE_GROUP_1_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 HEAVY;STATE_GROUP_1_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 X-HEAVY;STATE_GROUP_1_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 ZONE RATED;STATE_GROUP_1_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 1 ALL OTHER;STATE_GROUP_1_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 L & M;STATE_GROUP_2_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 HEAVY;STATE_GROUP_2_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 X-HEAVY;STATE_GROUP_2_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 ZONE RATED;STATE_GROUP_2_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 2 ALL OTHER;STATE_GROUP_2_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 L & M;STATE_GROUP_3_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 HEAVY;STATE_GROUP_3_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 X-HEAVY;STATE_GROUP_3_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 ZONE RATED;STATE_GROUP_3_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 3 ALL OTHER;STATE_GROUP_3_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 L & M;STATE_GROUP_4_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 HEAVY;STATE_GROUP_4_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 X-HEAVY;STATE_GROUP_4_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 ZONE RATED;STATE_GROUP_4_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 4 ALL OTHER;STATE_GROUP_4_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 L & M;STATE_GROUP_5_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 HEAVY;STATE_GROUP_5_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 X-HEAVY;STATE_GROUP_5_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 ZONE RATED;STATE_GROUP_5_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 5 ALL OTHER;STATE_GROUP_5_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 L & M;STATE_GROUP_6_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 HEAVY;STATE_GROUP_6_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 X-HEAVY;STATE_GROUP_6_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 ZONE RATED;STATE_GROUP_6_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 6 ALL OTHER;STATE_GROUP_6_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 L & M;STATE_GROUP_7_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 HEAVY;STATE_GROUP_7_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 X-HEAVY;STATE_GROUP_7_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 ZONE RATED;STATE_GROUP_7_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 7 ALL OTHER;STATE_GROUP_7_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 L & M;STATE_GROUP_8_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 HEAVY;STATE_GROUP_8_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 X-HEAVY;STATE_GROUP_8_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 ZONE RATED;STATE_GROUP_8_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP 8 ALL OTHER;STATE_GROUP_8_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE L & M;STATE_GROUP_MULTISTATE_L_M;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE HEAVY;STATE_GROUP_MULTISTATE_HEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE X-HEAVY;STATE_GROUP_MULTISTATE_XHEAVY;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE ZONE RATED;STATE_GROUP_MULTISTATE_ZONE_RATED;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STATE GROUP MULTISTATE ALL OTHER;STATE_GROUP_MULTISTATE_ALL_OTHER;FA£SZ;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA COMBINED;CA_COMB;PRAWDA;CA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOSPITALS LIABILITY GRP A;HOSP_LIAB_STATE_GROUP_A;FA£SZ;HOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOSPITALS LIABILITY GRP B;HOSP_LIAB_STATE_GROUP_B;FA£SZ;HOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HOSP LIABILITY MULTISTATE;HOSP_LIAB_MULTISTATE;FA£SZ;HOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHYSICIANS LIABILITY GRP A;PHY_LIAB_STATE_GROUP_A;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHYSICIANS LIABILITY GRP B;PHY_LIAB_STATE_GROUP_B;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHYSICIANS LIABILITY GRP C;PHY_LIAB_STATE_GROUP_C;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PHYS LIABILITY MULTISTATE;PHY_LIAB_MULTISTATE;FA£SZ;PHY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURGEONS LIABILITY GRP A;SURG_LIAB_STATE_GROUP_A;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURGEONS LIABILITY GRP B;SURG_LIAB_STATE_GROUP_B;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURGEONS LIABILITY GRP C;SURG_LIAB_STATE_GROUP_C;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SURG LIABILITY MULTISTATE;SURG_LIAB_MULTISTATE;FA£SZ;SUR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MED MAL COMBINED;MEDMAL_COMB;PRAWDA;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DENTISTS LIABILITY;DENT_LIAB;FA£SZ;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NURSING HOMES LIABILITY;NUR_LIAB;FA£SZ;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALLIED HEALTH CARE LIABILITY;MISC_LIAB;FA£SZ;MED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FL_PERS_AUTO;FL_PERS_AUTO;FA£SZ;PA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KS_UT_PERS_AUTO;KS_UT_PERS_AUTO;FA£SZ;PA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERS_AUTO_TORT;PERS_AUTO_TORT;FA£SZ;PA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERS_AUTO_PD;PERS_AUTO_PD;FA£SZ;PA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO_DE_KY_MN_ND_PERS_AUTO;CO_DE_KY_MN_ND_PERS_AUTO;FA£SZ;PA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MI_NY_PERS_AUTO;MI_NY_PERS_AUTO;FA£SZ;PA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
